"name","type","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se"
"P_Neg","factor",0.186440677966102,2,NA,NA,557,"Nee",NA,0.0637960551697532,NA,NA,NA,NA,NA,NA,NA
"P_Inc","factor",0.189265536723164,2,NA,NA,570,"Nee",NA,0.0138401583119865,NA,NA,NA,NA,NA,NA,NA
"P_War","factor",0.186440677966102,2,NA,NA,406,"Nee",NA,0.416063850308642,NA,NA,NA,NA,NA,NA,NA
"P_Acc","factor",0.186440677966102,2,NA,NA,558,"Nee",NA,0.060546875,NA,NA,NA,NA,NA,NA,NA
"P_Sen","factor",0.187853107344633,2,NA,NA,539,"Nee",NA,0.117377693761815,NA,NA,NA,NA,NA,NA,NA
"P_Sup","factor",0.187853107344633,2,NA,NA,555,"Nee",NA,0.0671455576559548,NA,NA,NA,NA,NA,NA,NA
"P_Mon_poor","factor",0.187853107344633,2,NA,NA,573,"Nee",NA,0.006932325141777,NA,NA,NA,NA,NA,NA,NA
"P_Mon","factor",0.186440677966102,2,NA,NA,566,"Nee",NA,0.0341194058641976,NA,NA,NA,NA,NA,NA,NA
"P_dir","factor",0.169491525423729,2,NA,NA,584,"Nee",NA,0.0135128881484567,NA,NA,NA,NA,NA,NA,NA
"P_Dem","factor",0.187853107344633,2,NA,NA,569,"Nee",NA,0.0206517958412098,NA,NA,NA,NA,NA,NA,NA
"P_Aut","factor",0.187853107344633,2,NA,NA,525,"Nee",NA,0.158790170132325,NA,NA,NA,NA,NA,NA,NA
"P_Int","factor",0.187853107344633,1,NA,NA,575,"Nee",NA,0,NA,NA,NA,NA,NA,NA,NA
"P_prot","factor",0.190677966101695,2,NA,NA,569,"Nee",NA,0.0138641423693917,NA,NA,NA,NA,NA,NA,NA
"P_Con","factor",0.187853107344633,2,NA,NA,571,"Nee",NA,0.0138162570888469,NA,NA,NA,NA,NA,NA,NA
"P_Str_Con","factor",0.187853107344633,2,NA,NA,549,"Nee",NA,0.0863455576559546,NA,NA,NA,NA,NA,NA,NA
"P_B_Con","factor",0.186440677966102,2,NA,NA,538,"Nee",NA,0.123239776234568,NA,NA,NA,NA,NA,NA,NA
"P_P_Con","factor",0.186440677966102,2,NA,NA,546,"Nee",NA,0.0987413194444444,NA,NA,NA,NA,NA,NA,NA
"P_Pun","factor",0.187853107344633,2,NA,NA,571,"Nee",NA,0.0138162570888469,NA,NA,NA,NA,NA,NA,NA
"P_Dis_indu","factor",0.190677966101695,2,NA,NA,561,"Nee",NA,0.0410076478166717,NA,NA,NA,NA,NA,NA,NA
"P_Dis","factor",0.186440677966102,2,NA,NA,572,"Nee",NA,0.0137924382716048,NA,NA,NA,NA,NA,NA,NA
"P_C_Dis","factor",0.186440677966102,2,NA,NA,570,"Nee",NA,0.0206163194444444,NA,NA,NA,NA,NA,NA,NA
"P_I_Dis","factor",0.186440677966102,2,NA,NA,566,"Nee",NA,0.0341194058641976,NA,NA,NA,NA,NA,NA,NA
"P_Hos","factor",0.186440677966102,2,NA,NA,544,"Nee",NA,0.104938271604938,NA,NA,NA,NA,NA,NA,NA
"P_har_low","factor",0.186440677966102,1,NA,NA,576,"Nee",NA,0,NA,NA,NA,NA,NA,NA,NA
"P_cor_pun","factor",0.186440677966102,2,NA,NA,574,"Nee",NA,0.00692033179012341,NA,NA,NA,NA,NA,NA,NA
"P_har","factor",0.186440677966102,2,NA,NA,558,"Nee",NA,0.060546875,NA,NA,NA,NA,NA,NA,NA
"P_Rej","factor",0.627118644067797,2,NA,NA,254,"Nee",NA,0.0728879706152432,NA,NA,NA,NA,NA,NA,NA
"PB_instrument","character",0,40,NA,NA,117,"                                                                                                                                                                                               ",NA,0.928017970570398,NA,NA,NA,NA,NA,NA,NA
"PB_OBS","factor",0.165254237288136,2,NA,NA,537,"Nee",NA,0.166043958875519,NA,NA,NA,NA,NA,NA,NA
"PB_PR","factor",0.165254237288136,2,NA,NA,456,"Nee",NA,0.352495555154732,NA,NA,NA,NA,NA,NA,NA
"PB_PR_WHOM","factor",0.467514124293785,3,NA,NA,295,"0",NA,0.348725453637189,NA,NA,NA,NA,NA,NA,NA
"PB_CR","factor",0.165254237288136,2,NA,NA,298,"Ja",NA,0.499964212195911,NA,NA,NA,NA,NA,NA,NA
"PB_TR","factor",0.165254237288136,2,NA,NA,525,"Nee",NA,0.198407585869257,NA,NA,NA,NA,NA,NA,NA
"PB_FR","factor",0.165254237288136,2,NA,NA,579,"Nee",NA,0.0397845860496275,NA,NA,NA,NA,NA,NA,NA
"PB_MIX","factor",0.17090395480226,2,NA,NA,549,"Nee",NA,0.121090405695231,NA,NA,NA,NA,NA,NA,NA
"PB_PB","factor",0.17090395480226,2,NA,NA,308,"Nee",NA,0.498779634848173,NA,NA,NA,NA,NA,NA,NA
"PB_toM","factor",0.17090395480226,2,NA,NA,569,"Nee",NA,0.0594481801903248,NA,NA,NA,NA,NA,NA,NA
"PB_toF","factor",0.17090395480226,2,NA,NA,569,"Nee",NA,0.0594481801903248,NA,NA,NA,NA,NA,NA,NA
"PB_toFR","factor",0.17090395480226,2,NA,NA,571,"Nee",NA,0.0530285661217347,NA,NA,NA,NA,NA,NA,NA
"PB_toFAM","factor",0.17090395480226,2,NA,NA,462,"Nee",NA,0.335201367505492,NA,NA,NA,NA,NA,NA,NA
"PB_toSTR","factor",0.17090395480226,2,NA,NA,541,"Nee",NA,0.14444712089596,NA,NA,NA,NA,NA,NA,NA
"PB_Mor","factor",0.17090395480226,1,NA,NA,587,"Nee",NA,0,NA,NA,NA,NA,NA,NA,NA
"PB_Alt","factor",0.17090395480226,2,NA,NA,581,"Nee",NA,0.0202339734566952,NA,NA,NA,NA,NA,NA,NA
"PB_Emp","factor",0.17090395480226,2,NA,NA,571,"Nee",NA,0.0530285661217347,NA,NA,NA,NA,NA,NA,NA
"PB_Sym","factor",0.17090395480226,2,NA,NA,561,"Nee",NA,0.0846622882499588,NA,NA,NA,NA,NA,NA,NA
"PB_com","factor",0.17090395480226,2,NA,NA,571,"Nee",NA,0.0530285661217347,NA,NA,NA,NA,NA,NA,NA
"PB_coop","factor",0.17090395480226,2,NA,NA,571,"Nee",NA,0.0530285661217347,NA,NA,NA,NA,NA,NA,NA
"PB_sha","factor",0.17090395480226,2,NA,NA,581,"Nee",NA,0.0202339734566952,NA,NA,NA,NA,NA,NA,NA
"PB_ada","factor",0.17090395480226,1,NA,NA,587,"Nee",NA,0,NA,NA,NA,NA,NA,NA,NA
"PB_soc","factor",0.17090395480226,1,NA,NA,587,"Nee",NA,0,NA,NA,NA,NA,NA,NA,NA
"M_IV","numeric",0.446327683615819,141,7.81015306122449,3.77,3.77,NA,7.81015306122449,NA,0.11,88.34,88.23,4.19674923703421,17.0256269617784,17.7998900242908,36.196186479744
